path,source,sha256,purpose_and_retention_reason,version_status
reference_versions/shared_upstream/agents/prompts/CBC_otherLab_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/CBC_otherLab_prompt.txt,ca719304f53fd46d750e9db9de9b9bd55d327eb8b1294f724a6ba39089edc1b6,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/big_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/big_prompt.txt,dc516649dcdb0ea78022b4ee457e8c53dfcf7225e23e9e5bfb3ce92136510cd2,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/culture_agent_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/culture_agent_prompt.txt,400d38b374e6c8b27e07e0b8c8bdfe2351ef7137e403ef6d7aefa56976147346,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/filmarray_GMtest_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/filmarray_GMtest_prompt.txt,05d839eac9f11b5690ec888bb5fc125138a83f6a3b2e8ff728c9d027b4b5c17a,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/image_agent_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/image_agent_prompt.txt,23e8d0cac24fc53db26522b3bb7df6bb7bd8df87382d9ff77c67d5f22b50b70a,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/mNGS_big_prompt(x).txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/mNGS_big_prompt(x).txt,40f59359e8b96618d73800483098f968b40ae9673b29f2906252f2ccefba1ab3,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/mNGS_max_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/mNGS_max_prompt.txt,989ddc055c402f570335bed91b3eaf2bb16d268db47dcc67ccd2b8dbed317e61,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/mNGS_max_prompt_no_filmarray.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/mNGS_max_prompt_no_filmarray.txt,b620bf003232bb0f42119f73b80033775ed7999081d6dc428baafb9f8920e8d7,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/mNGS_to_specimen_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/mNGS_to_specimen_prompt.txt,e31584917653401003fce9a6858f91ca1494fcb3b80ee241abe465a7cb7c68a7,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
reference_versions/shared_upstream/agents/prompts/underlying_agent_prompt.txt,CSIE_PROJECT-main/CSIE_PROJECT/agents/prompts/underlying_agent_prompt.txt,0f01fe85854895a3cc77af7ae98653cab14f5143109819cef0dc294fb0d81731,共同專案獨立來源快照：含現行上游缺少的 Excel 分人、PPT/vision 銜接、Table 1 匯入及測試；保留整套依賴，不混入現行上游,unchanged shared source; selected frontend modules locked by FRONTEND_CODE_PROFILE.json
